Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,10/05/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Armenia,ARM,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2399999.9,800000,8000000,25320000,17570000,51940000,232375000,122034000,104188500,69868500,110725325.6,122852992.7,247140608.5,292073220.2,466531991.9,667671562.1,943733059.5,760040745.9,529321391.6,653219756.5,496636701.1,346092394.4,406578406.7,184127986.3,333823945.5,252747990.7,266855048.8,100287214.4,58582750.12,366445214.8,
American Samoa,ASM,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,,,,,,,,,,,,,,,,,,2200000,-6900000,8500000,19600000,22400000,23000000,5000000,4400000,15600000,22600000,38596296.3,32951851.85,43107407.41,60607407.41,54792592.59,19648148.15,15240740.74,24788888.89,31485185.19,19351851.85,22944444.44,22774074.07,51792533.33,43115925.93,98452222.22,65865064.81,166321143.7,80366585.19,220963374.1,358820163.7,338204733.3,158783774.4,80646652.59,96679207.78,65160596.3,129367138.9,134288999.6,46263101.05,114024660.1,97431976.47,151271628.2,204608526.8,128250994.6,77209535.33,244580656.3,
Australia,AUS,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,,,,,,,,,,,893138535.5,1155158059,1054014675,135039666.1,1327729912,449028697.2,1047313647,1141019599,1676855615,1489983133,1866223965,2346546543,2286321730,2990964045,428250491.4,2098624894,5369760089,5190522203,8476377245,8023170407,8457776860,2612066526,4941906672,5312435142,4458484244,13268875155,4563952446,8088068983,7597610928,2210917992,14892978180,10717133151,14656321801,8985246030,42907672820,-25093141435,30551100657,44440090038,45160024271,28683266148,35210733743,65554890650,57550426823,54465480055,63202728079,46892808568,42969505135,48198614235,60685908478,38959497520,15307363570,24789073111,
Austria,AUT,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,,,,,,,,,,,112650000,142729999.9,145400000,160759999.9,177050000,79109999.9,91230000,96810000,142389999.9,187430000,239300000,327519999.9,207919999.9,216120000,115239999.9,169167935.4,183400907.8,395491398,445427083.5,581979789.4,653000000,360000000,1485517753,1125106122,2075823594,1825090253,4323513092,2668974816,4571855707,2974499988,8501013451,5689434546,138346430.8,6195021861,3183649650,81096089418,10500457158,68865787583,6301143682,14300064389,-22007325156,22983942932,5218620113,451107665.2,1712175274,-7975773544,-28939340169,13518864836,-28605757320,-12394032433,-11666737766,12326601371,
Azerbaijan,AZE,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10000,22000000,330050000,627277000,1114838000,1022967000,510317000,129937000,819579000,2024577000,4007330000,4719107000,4476396000,4485966000,4594234000,3986807000,2900030000,3352997000,4485120000,5293250000,2619437000,4430466000,4047630000,4499666000,2867487000,1402998000,1503918000,507151800,-1707666000,
Burundi,BDI,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,,,,,,,,,,,100000,,410000,440000,220000,320000,80000,-250000,890000,-300000,4599999.9,11080000,900000,3040000,1189999.9,538566.543,1524028.632,1367714.123,1196623.811,567226.8908,1255434.743,892500.1067,600088.333,473679.8748,3957.848909,1981922.465,0,0,0,-475191.3053,11683246.08,-11440.9127,0,0,44690.7076,584701.6926,31593.77819,500245.0931,3833208.348,348404.5346,780582.0036,3354999.181,604919.6515,116727136.5,81747197.23,49622865.77,55420.35666,316473.4494,983747.125,1044957.415,8473943.201,7898029.692,
Belgium,BEL,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,,,,,,,,,,,314000000,428000000,386000000,719000000,1137000000,954600000,871789999.9,1274930000,1435800000,1130080000,1544780000,1386450000,1472180000,1289700000,389370000,1051490000,729860000,2354920000,5212470000,7020270000,8046730000,9362560000,11285800000,10750000000,8513580000,10688700000,14063900000,11998300000,22690500000,1.19693E+11,88738714000,88203254000,18118954671,34559267490,44498165771,33662010794,58821552824,96551634531,1.90392E+11,77354509260,1.25492E+11,1.63624E+11,11810272331,-29640924980,-15205871358,-19514245855,57538351507,-37288840312,-41601387267,-21379939833,-24346546464,24036812330,
Benin,BEN,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,,,,,,,,,,,6700000,2799999.9,4799999.9,3500000,-2343120.329,1889760.249,2452390.826,3126021.572,753359.5619,3568043.123,4316555.846,2090299.061,-12172.62291,10496.86832,11442.7823,-90000,1100000,100000,-21662039.9,-1118466.198,-2954844.091,393822.3295,954317.4336,-21635980.33,-7107468.706,-7738379.607,-14661253.78,12183267.34,11294143.5,9314781.877,-12794843.61,16739539.34,-19395622.7,10638088.26,-40774605.06,-8788860.127,-12363482.36,139189943,48210757.85,-18807407.38,53507087.74,161302390.8,281548556.3,360343380.3,405737369.1,149755663.3,131790853.8,200902719.3,194073683.2,218207871.7,174019952.1,345985235.7,
Burkina Faso,BFA,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,,,,,,,,,,,400000,1000000,-700000,4400000,2669999.9,300000,2049999.9,4969999.9,1159999.9,1490000,20000,2430000,1950000,1980000,1669999.9,-1429999.9,3140000,1330000,3710000,5669999.9,460000,570000,3113052.1,3178381.3,18371592.4,9816727.7,16225134.4,9765809,4407138.2,7925950.83,23107520.48,6267060.825,15026083.66,29122505.16,14348315.78,52130040.88,83849256.07,21711800.9,33190579.88,56653992.33,38870701.36,143845512.3,329281976,490403410.5,357296974.3,231901703.7,390622353.4,2572690.322,268414907.9,162970140.3,-98777856.01,-79957355.34,
Bangladesh,BGD,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,,,,,,,,,,,,,90000,2339999.9,2200000,1543333.3,5419999.9,6980000,7700000,-8009999.9,8509999.9,5360000,6960000,403978.5575,-553269.3983,-6660000,2436499.344,3205086.762,1838242.499,247908.2739,3238781.189,1390444.322,3721853.382,14049886.52,11147788.33,1896372.127,13529831.54,139376153.1,190059373,179603006.3,280384629.7,78527040.08,52304931.04,268285231.8,448905400.7,813321971.9,456523167.7,651029738.1,1328422987,901286583.1,1232258247,1264725163,1584403460,2602962095,2539190940,2831152765,2332724781,1810395804,2421626238,1908045387,1525312160,1723856464,1555404915
Bulgaria,BGR,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,4000000,55900000,41500000,40000000,105400000,90400000,109000000,504800000,537317256.2,818788154.9,1001503842,812942202,904659791.1,2096788700,3072550962,4098122931,7874476255,13875270457,10296720634,3896664559,1842900000,2103810000,1788110000,1989040000,1093600000,2221390000,1488430000,2007290000,1809860000,2221250000,3599690000,2124260000,
Bahrain,BHR,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,,,,,,,,,,,,,,3399999.9,110000,1320000,3210000,650000,22970508.34,145171539.9,-418036875,4150000,28457446.88,64095744.85,140691489.5,101329787.2,-31914893.62,-35904255.32,222074468.1,180851063.8,91755319.15,619414893.6,868617021.3,-275000007.9,208244700.2,430586743.7,2048151880,329284164.2,179454413.3,453737838,363562321.9,80358858.37,216986881.6,516700276.4,865308118.6,1048601306,2914659868,1756312515,1793998355,257149561.4,155771009.2,780851063.8,1544680851,3727712766,1518617021,64893617.02,243351063.8,518882978.7,111170212.8,1501329787,1021276596,1765957447,
"Bahamas, The",BHS,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,,,,,,,,,,,80319999.9,54659999.9,90430000,102250000,143440000,17579999.9,14600000,31400000,-1100000,9600000,4100000,34400000,2800000,-6000000,-4900000,-30200000,-13200000,10800000,36700000,25400000,-17000000,-1300000,300000,27300000,23600000,106900000,87800000,210000000,146900000,149300000,250250000,102370000,152790000,190200000,273600000,563414700,706380000,713350000,860156197,663960000,871970000,666621000,526171000,382252000,251277428.8,76075924.75,390400036.4,304587573.1,491404689.2,482229306.4,434599799.8,383064779.1,
Bosnia and Herzegovina,BIH,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66736468.36,176780594.8,146075610.9,118495219.8,267769569,381784637.4,889597294.5,623812851.6,845962876.4,1841972230,1004852660,138511019.7,443840207.1,471610992.2,391976946.4,313295008.3,544866345.5,383089615.7,313198153.4,509429047.9,601783317.1,447875544.6,433013741.9,638360931.2,645101053.9
Belarus,BLR,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7000000,17600000,10500000,14700000,104500000,351600000,203200000,444000000,118800000,95800000,247100000,171800000,163800000,306600000,357100000,1807300000,2187900000,1876500000,1393400000,4002400000,1463600000,2246100000,1862000000,1652300000,1246900000,1276300000,1426500000,1273300000,1393200000,1230721862,1613025743
Belize,BLZ,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,,,,,,,,,,,7089999.9,3339999.9,,,,,,,2000000,-50000,,-2000000,,,-3700000,3700000,4600000,6850000,14000000,18650000,17200000,13600000,15600000,9200000,15369500,21050000,16580000,11955000,17650000,58671500,29564651.92,61174888.87,25461176.88,-10924755.75,111496166.4,126908465.9,108828544.6,140373737.3,169668449.5,108840086.4,96449877.08,95348525.19,194201408.8,92247730.94,141097030.3,59119223.9,32733410.99,31831615.5,122041647,93910241.7,76202813.5,130046493.2,
Bermuda,BMU,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34700000,102700000,60500000,66900000,41799999.9,5400000,12900000,831600000,43700000,-88170000,617153591.8,171529641.6,-70747817.17,222710475.9,-257865988.6,47614095.07,54904045.83,-3425440.524,-143094386.1,-73213793.63,-288109271,95416371.5,4389826.5,476518083.8,49675691.88,
Bolivia,BOL,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,,,,,,,,,,,19763999.9,1899999.9,16204999.9,4599999.9,44233000,61596999.9,-8100000,-1200000,11500000,35000000,47000000,75700000,31100000,7000000,7000000,10000000,10000000,38100000,-10100000,-24400000,27200000,52000000,93100000,123800000,130200000,392700000,474100000,730600000,949300000,1010500000,736350000,705756000,676543000,197400000,65430000,-238620000,280763457,366294241.5,512335605.2,423040000,621997989.5,858941070.4,1059965391,1749612614,656566350.8,554643532.3,335365530.4,712474137.8,302368781.4,-216636843.1,-1129487271,583576424.7,
Brazil,BRA,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,,,,,,,,,,,391699999.9,449000000,459899999.9,1180700000,1207900000,1302000000,1555000000,1833000000,2006000000,2419000000,1911000000,2520000000,2910000000,1609000000,1594000000,1441000000,345000000,1169000000,2804000000,1131000000,989000000,1103000000,2061000000,1292000000,3072000000,4859000000,12552000000,18992934311,28855609916,28385675615,32994718700,23225846372,16586600193,10123013671,18161380460,15459981604,19418085598,44579492464,50716402711,31480931700,82389932468,1.02427E+11,92568388321,75211029129,87713983217,64738153494,74294627801,68885491315,78162724370,69174411753,37786286307,46439071565,90572486883
